iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m,albedo_bg,e_bg,pen_w,pen_s,z_bg,z_s
7,0,1000,0.75,0.00250033,0.000456229,1.26668,1.96355,0.140097,0.212054,0.548605,0.661395,0.157827,0.958845,1.28801,1.50013,0.313898,0.711929,0.445683,0.35266,7.51754e-11,1.75e-13,900,1900,0.485032,0.764759,0.0101823,0.0349777,0.023695,0.00875
8,0,0.1,1,0.0025,0.000456229,1.21762,1.95229,0.106287,0.207285,0.629019,0.576442,0.176791,0.958449,1.24455,1.50339,0.254905,0.728103,0.438538,0.349246,9.35659e-11,1.75e-13,900,1900,0.42837,0.769539,0.0101881,0.035,0.0325666,0.00875
8,0,0.1,0.75,0.0025,0.000456229,1.22337,1.95484,0.113399,0.208482,0.618863,0.593012,0.171806,0.95816,1.25267,1.50229,0.26324,0.724194,0.437934,0.348545,9.35659e-11,1.75e-13,900,1900,0.43968,0.767044,0.0101881,0.035,0.0311054,0.00875
8,0,1,1,0.0025,0.000456229,1.20508,1.95981,0.114821,0.211979,0.641366,0.600795,0.161684,0.957915,1.25866,1.49953,0.256449,0.718154,0.429967,0.33001,9.35659e-11,1.75e-13,900,1900,0.438161,0.763506,0.0101881,0.035,0.0307924,0.00875
8,0,1,0.75,0.0025,0.000456229,1.21396,1.96048,0.1198,0.212003,0.628123,0.611276,0.160476,0.957759,1.26326,1.49939,0.264398,0.716732,0.431505,0.334119,9.35659e-11,1.75e-13,900,1900,0.447023,0.762519,0.0101881,0.035,0.0297747,0.00875
8,0,10,1,0.0025,0.000495638,1.22924,1.9624,0.135014,0.213032,0.596864,0.63854,0.156875,0.957403,1.27484,1.49896,0.283849,0.713069,0.433121,0.338639,9.35659e-11,1.75e-13,900,1900,0.468182,0.758413,0.0101881,0.035,0.0257603,0.00875
8,0,10,0.75,0.0025,0.000485786,1.23209,1.96243,0.134945,0.212793,0.594747,0.639585,0.156869,0.957375,1.2754,1.49897,0.284949,0.712919,0.43387,0.34059,9.35659e-11,1.75e-13,900,1900,0.469538,0.758699,0.0101881,0.035,0.0260006,0.00875
8,0,100,1,0.0025,0.000537406,1.23896,1.9625,0.13499,0.212147,0.589292,0.642308,0.156843,0.957304,1.27683,1.49898,0.287793,0.712529,0.435765,0.345422,9.35659e-11,1.75e-13,900,1900,0.472966,0.759322,0.0101881,0.035,0.0263699,0.00875
8,0,100,0.75,0.0025,0.000517112,1.23937,1.9625,0.134927,0.212129,0.589068,0.642412,0.156845,0.957301,1.27689,1.49898,0.287907,0.712513,0.435853,0.345677,9.35659e-11,1.75e-13,900,1900,0.473126,0.759381,0.0101881,0.035,0.0264578,0.00875
8,0,1000,1,0.00250016,0.00045626,1.24045,1.96251,0.134779,0.212115,0.588507,0.642684,0.156848,0.957294,1.27703,1.49898,0.288189,0.712473,0.436062,0.346321,9.35595e-11,1.75e-13,900,1900,0.473498,0.759487,0.0101881,0.035,0.0264942,0.00875
