iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m
9,0,10,0.75,0.0025,0.000456229,2.00567,2.04802,0.234947,0.179795,0.456726,0.949749,0.115074,0.984512,1.50421,1.49943,0.478507,0.698884,0.681219,0.485334,7.18587e-11,2.5e-14,900,1900
9,0,100,1,0.0025,0.000456229,2.00567,2.04802,0.234947,0.179795,0.456726,0.949749,0.115074,0.984512,1.50421,1.49943,0.478507,0.698884,0.681219,0.485334,7.1859e-11,2.5e-14,900,1900
9,0,100,0.75,0.0025,0.000456229,2.00567,2.04802,0.234947,0.179795,0.456726,0.949749,0.115074,0.984512,1.50421,1.49943,0.478507,0.698884,0.681219,0.485334,7.18588e-11,2.5e-14,900,1900
9,0,1000,1,0.0025,0.000456229,2.00567,2.04802,0.234947,0.179796,0.456726,0.949749,0.115075,0.984512,1.50421,1.49943,0.478507,0.698884,0.68122,0.485334,7.18581e-11,2.5e-14,900,1900
9,0,1000,0.75,0.0025,0.000456229,2.00567,2.04802,0.234947,0.179796,0.456726,0.949749,0.115074,0.984512,1.50421,1.49943,0.478507,0.698884,0.68122,0.485334,7.18581e-11,2.5e-14,900,1900
10,0,0.1,1,0.0025,0.000456229,2.0045,2.04801,0.234697,0.179989,0.457156,0.949688,0.115349,0.984512,1.50419,1.49943,0.478324,0.698888,0.682143,0.485225,9.35659e-11,2.5e-14,900,1900
10,0,0.1,0.75,0.0025,0.000456229,2.0048,2.04802,0.23476,0.179941,0.457048,0.949704,0.11528,0.984512,1.50419,1.49943,0.47837,0.698887,0.681912,0.485252,8.81391e-11,2.5e-14,900,1900
10,0,1,1,0.0025,0.000456229,2.00556,2.04802,0.234932,0.179818,0.456768,0.949743,0.115101,0.984512,1.50421,1.49943,0.47849,0.698885,0.681314,0.485325,9.35659e-11,2.5e-14,900,1900
10,0,1,0.75,0.0025,0.000456229,2.00558,2.04802,0.234936,0.179812,0.456757,0.949745,0.115094,0.984512,1.50421,1.49943,0.478494,0.698884,0.68129,0.485327,8.81391e-11,2.5e-14,900,1900
10,0,10,1,0.0025,0.000456229,2.00566,2.04802,0.234946,0.179798,0.45673,0.949749,0.115077,0.984512,1.50421,1.49943,0.478506,0.698884,0.681229,0.485333,9.35659e-11,2.5e-14,900,1900
10,0,10,0.75,0.0025,0.000456229,2.00566,2.04802,0.234946,0.179797,0.456729,0.949749,0.115076,0.984512,1.50421,1.49943,0.478506,0.698884,0.681226,0.485334,8.81391e-11,2.5e-14,900,1900
10,0,100,1,0.0025,0.000456229,2.00566,2.04802,0.234946,0.179797,0.456729,0.949749,0.115077,0.984512,1.50421,1.49943,0.478506,0.698884,0.681227,0.485335,7.18589e-11,2.5e-14,900,1900
10,0,100,0.75,0.0025,0.000456229,2.00566,2.04802,0.234946,0.179797,0.456728,0.949749,0.115076,0.984512,1.50421,1.49943,0.478506,0.698884,0.681225,0.485335,7.18589e-11,2.5e-14,900,1900
10,0,1000,1,0.0025,0.000456229,2.00567,2.04802,0.234947,0.179796,0.456726,0.949749,0.115075,0.984512,1.50421,1.49943,0.478507,0.698884,0.68122,0.485334,7.18589e-11,2.5e-14,900,1900
10,0,1000,0.75,0.0025,0.000456229,2.00567,2.04802,0.234947,0.179796,0.456726,0.949749,0.115074,0.984512,1.50421,1.49943,0.478507,0.698884,0.68122,0.485334,7.18589e-11,2.5e-14,900,1900
